BEAT_OF_OCCURRENCE,DAMAGE_PER_BEAT,PRIM_CONTRIBUTORY_CAUSE,DAMAGE_PER_CAUSE,PERCENTAGE,,,
1013,7300927.282,TURNING RIGHT ON RED,18099.09098,0.247901264,,,
1013,7300927.282,WEATHER,163562.9863,2.240304279,,,
1013,7300927.282,DISREGARDING STOP SIGN,102935.496,1.409896196,,,
1013,7300927.282,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1424.234451,1.95E-02,,,
1013,7300927.282,DISREGARDING OTHER TRAFFIC SIGNS,22321.46309,0.305734631,,,
1013,7300927.282,CELL PHONE USE OTHER THAN TEXTING,11154.04736,0.152775763,,,
1013,7300927.282,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,109834.5246,1.504391434,,,
1013,7300927.282,VISION OBSCURED (SIGNS,56264.20716,0.770644673,,,
1013,7300927.282,DISREGARDING TRAFFIC SIGNALS,233691.7886,3.20085079,,,
1013,7300927.282,UNABLE TO DETERMINE,2089708.677,28.62251049,,,
1013,7300927.282,EXCEEDING AUTHORIZED SPEED LIMIT,48028.63332,0.657842921,,,
1013,7300927.282,OPERATING VEHICLE IN ERRATIC,143095.9037,1.959968894,,,
1013,7300927.282,IMPROPER LANE USAGE,192910.5559,2.64227472,,,
1013,7300927.282,IMPROPER TURNING/NO SIGNAL,287690.3815,3.940463594,,,
1013,7300927.282,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),39619.18111,0.542659577,,,
1013,7300927.282,IMPROPER BACKING,175361.0769,2.401901432,,,
1013,7300927.282,DRIVING ON WRONG SIDE/WRONG WAY,27553.26373,0.37739403,,,
1013,7300927.282,NOT APPLICABLE,96618.8636,1.323377975,,,
1013,7300927.282,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),24560.4456,0.336401729,,,
1013,7300927.282,FAILING TO REDUCE SPEED TO AVOID CRASH,430306.118,5.89385569,,,
1013,7300927.282,DISREGARDING ROAD MARKINGS,0,0,,,
1013,7300927.282,DISTRACTION - FROM OUTSIDE VEHICLE,40448.49516,0.554018601,,,
1013,7300927.282,IMPROPER OVERTAKING/PASSING,298546.7335,4.089161856,,,
1013,7300927.282,EQUIPMENT - VEHICLE CONDITION,99889.94737,1.36818165,,,
1013,7300927.282,PHYSICAL CONDITION OF DRIVER,20621.51057,0.282450568,,,
1013,7300927.282,FAILING TO YIELD RIGHT-OF-WAY,1212541.613,16.60804945,,,
1013,7300927.282,DISTRACTION - FROM INSIDE VEHICLE,115592.9798,1.583264363,,,
1013,7300927.282,EVASIVE ACTION DUE TO ANIMAL,58489.94943,0.801130421,,,
1014,3069532.681,PHYSICAL CONDITION OF DRIVER,5130.044355,0.167127862,,,
1014,3069532.681,IMPROPER BACKING,49037.9558,1.597570735,,,
1014,3069532.681,ANIMAL,0,0,,,
1014,3069532.681,DISTRACTION - FROM INSIDE VEHICLE,45114.54629,1.469752923,,,
1014,3069532.681,FAILING TO YIELD RIGHT-OF-WAY,395765.7335,12.89335461,,,
1014,3069532.681,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,34805.89565,1.133915135,,,
1014,3069532.681,DISTRACTION - FROM OUTSIDE VEHICLE,6758.714673,0.22018709,,,
1014,3069532.681,DISREGARDING TRAFFIC SIGNALS,223079.1755,7.267528927,,,
1014,3069532.681,IMPROPER LANE USAGE,29299.40787,0.954523405,,,
1014,3069532.681,DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE,23442.92484,0.763729443,,,
1014,3069532.681,DISREGARDING STOP SIGN,48213.17721,1.570700892,,,
1014,3069532.681,EVASIVE ACTION DUE TO ANIMAL,0,0,,,
1014,3069532.681,DRIVING ON WRONG SIDE/WRONG WAY,39104.70878,1.27396294,,,
1014,3069532.681,UNABLE TO DETERMINE,1177312.567,38.35478198,,,
1014,3069532.681,WEATHER,22232.94659,0.72431047,,,
1014,3069532.681,EQUIPMENT - VEHICLE CONDITION,23561.27036,0.767584933,,,
1014,3069532.681,IMPROPER OVERTAKING/PASSING,57236.30143,1.86465848,,,
1014,3069532.681,OPERATING VEHICLE IN ERRATIC,54469.10031,1.774507913,,,
1014,3069532.681,EXCEEDING SAFE SPEED FOR CONDITIONS,83442.69779,2.718416986,,,
1014,3069532.681,FOLLOWING TOO CLOSELY,293072.3251,9.547783184,,,
1014,3069532.681,IMPROPER TURNING/NO SIGNAL,48199.02083,1.570239702,,,
1014,3069532.681,DISREGARDING ROAD MARKINGS,3530.723068,0.115024775,,,
1014,3069532.681,NOT APPLICABLE,119251.0173,3.884989337,,,
1014,3069532.681,TURNING RIGHT ON RED,27760.38489,0.904384731,,,
1014,3069532.681,EXCEEDING AUTHORIZED SPEED LIMIT,36388.73089,1.185481136,,,
1014,3069532.681,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,0,0,,,
1014,3069532.681,FAILING TO REDUCE SPEED TO AVOID CRASH,221552.8665,7.217804453,,,
1014,3069532.681,VISION OBSCURED (SIGNS,1770.443845,0.05767796,,,
1021,2271869.726,PHYSICAL CONDITION OF DRIVER,20183.06117,0.888389899,,,
1021,2271869.726,NOT APPLICABLE,31201.60911,1.373389009,,,
1021,2271869.726,FAILING TO YIELD RIGHT-OF-WAY,372612.9913,16.40116012,,,
1021,2271869.726,EQUIPMENT - VEHICLE CONDITION,13371.66984,0.588575555,,,
1021,2271869.726,DISTRACTION - FROM OUTSIDE VEHICLE,3194.679963,0.140618977,,,
1021,2271869.726,DISREGARDING TRAFFIC SIGNALS,25212.26529,1.109758408,,,
1021,2271869.726,DISREGARDING STOP SIGN,60497.89096,2.662911974,,,
1021,2271869.726,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,44543.27818,1.960644032,,,
1021,2271869.726,ROAD CONSTRUCTION/MAINTENANCE,2062.396855,9.08E-02,,,
1021,2271869.726,IMPROPER OVERTAKING/PASSING,52866.47543,2.327002945,,,
1021,2271869.726,IMPROPER LANE USAGE,17661.38784,0.777394392,,,
1021,2271869.726,OPERATING VEHICLE IN ERRATIC,54206.53908,2.385988002, ,,
1021,2271869.726,DRIVING ON WRONG SIDE/WRONG WAY,3745.350694,0.164857635,,,
1021,2271869.726,DISTRACTION - FROM INSIDE VEHICLE,24347.44361,1.071691891,,,
1021,2271869.726,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),32343.64687,1.423657638,,,
1021,2271869.726,UNABLE TO DETERMINE,936770.4829,41.23345949,,,
1021,2271869.726,FOLLOWING TOO CLOSELY,256709.6028,11.29948605,,,
1021,2271869.726,EVASIVE ACTION DUE TO ANIMAL,26430.21323,1.163368345,,,
1021,2271869.726,FAILING TO REDUCE SPEED TO AVOID CRASH,40928.1319,1.801517553,,,
1021,2271869.726,WEATHER,46463.14208,2.045149929,,,
1021,2271869.726,IMPROPER TURNING/NO SIGNAL,127003.1254,5.590246833,,,
1021,2271869.726,EXCEEDING SAFE SPEED FOR CONDITIONS,9058.762388,0.398735996,,,
1021,2271869.726,EXCEEDING AUTHORIZED SPEED LIMIT,13073.47008,0.575449813,,,
1021,2271869.726,IMPROPER BACKING,57382.10864,2.525765804,,,
1022,5615292.386,OPERATING VEHICLE IN ERRATIC,126215.5271,2.247710688, ,,
1022,5615292.386,EVASIVE ACTION DUE TO ANIMAL,1798.548744,0.032029476,,,
1022,5615292.386,EXCEEDING SAFE SPEED FOR CONDITIONS,2649.237987,4.72E-02,,,
1022,5615292.386,DISTRACTION - FROM OUTSIDE VEHICLE,6455.017202,0.114954249,,,
1022,5615292.386,IMPROPER BACKING,157130.5977,2.798262084,,,
1022,5615292.386,DISREGARDING ROAD MARKINGS,20915.26,0.372469652,,,
1022,5615292.386,FAILING TO REDUCE SPEED TO AVOID CRASH,351004.0433,6.250859602,,,
1022,5615292.386,TURNING RIGHT ON RED,0,0,,,
1022,5615292.386,IMPROPER TURNING/NO SIGNAL,236828.2068,4.217557885,,,
1022,5615292.386,FAILING TO YIELD RIGHT-OF-WAY,686268.9399,12.22142843,,,
1022,5615292.386,UNABLE TO DETERMINE,1673785.752,29.80763311,,,
1022,5615292.386,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,93536.5945,1.665747535,,,
1022,5615292.386,FOLLOWING TOO CLOSELY,628356.7741,11.19009895,,,
1022,5615292.386,EQUIPMENT - VEHICLE CONDITION,153112.9044,2.726712945,,,
1022,5615292.386,VISION OBSCURED (SIGNS,73428.73837,1.307656544, ,,
1022,5615292.386,DISREGARDING OTHER TRAFFIC SIGNS,14325.72784,0.255119891,,,
1022,5615292.386,CELL PHONE USE OTHER THAN TEXTING,2977.251487,5.30E-02,,,
1022,5615292.386,DISTRACTION - FROM INSIDE VEHICLE,108122.9396,1.925508633,,,
1022,5615292.386,NOT APPLICABLE,191404.3396,3.408626417,,,
1022,5615292.386,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),7620.10655,0.135702756,,,
1022,5615292.386,WEATHER,200130.1293,3.564019743,,,
1022,5615292.386,PHYSICAL CONDITION OF DRIVER,596.4116098,1.06E-02,,,
1022,5615292.386,IMPROPER OVERTAKING/PASSING,149883.5983,2.66920381,,,
1022,5615292.386,DISREGARDING STOP SIGN,35200.19531,0.626863089,,,
1022,5615292.386,IMPROPER LANE USAGE,220607.1605,3.928685193,,,
1022,5615292.386,DISREGARDING TRAFFIC SIGNALS,296089.99,5.272922043,,,
1022,5615292.386,ROAD CONSTRUCTION/MAINTENANCE,0,0,,,
1022,5615292.386,DRIVING ON WRONG SIDE/WRONG WAY,63761.5765,1.135498779,,,
1022,5615292.386,EXCEEDING AUTHORIZED SPEED LIMIT,113086.8168,2.013907898,,,
1023,5263836.092,DISTRACTION - FROM OUTSIDE VEHICLE,11066.79815,0.210242074,,,
1023,5263836.092,EQUIPMENT - VEHICLE CONDITION,16315.36434,0.309951983,,,
1023,5263836.092,IMPROPER LANE USAGE,179505.4021,3.410163214,,,
1023,5263836.092,EXCEEDING SAFE SPEED FOR CONDITIONS,2013.327092,3.82E-02,,,
1023,5263836.092,FAILING TO YIELD RIGHT-OF-WAY,640695.0544,12.17163763,,,
1023,5263836.092,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),31011.33573,0.589139464,,,
1023,5263836.092,EXCEEDING AUTHORIZED SPEED LIMIT,55668.61537,1.057567417,,,
1023,5263836.092,IMPROPER BACKING,181756.9513,3.452937138,,,
1023,5263836.092,DISREGARDING YIELD SIGN,17182.16223,0.326419021,,,
1023,5263836.092,EVASIVE ACTION DUE TO ANIMAL,0,0,,,
1023,5263836.092,DISREGARDING STOP SIGN,9592.323984,0.182230674,,,
1023,5263836.092,DRIVING ON WRONG SIDE/WRONG WAY,38744.4049,0.736048848,,,
1023,5263836.092,IMPROPER OVERTAKING/PASSING,240081.9428,4.560969198,,,
1023,5263836.092,CELL PHONE USE OTHER THAN TEXTING,18687.05855,0.355008367,,,
1023,5263836.092,ROAD CONSTRUCTION/MAINTENANCE,20538.46834,0.390180621,,,
1023,5263836.092,WEATHER,101803.4199,1.934015766,,,
1023,5263836.092,IMPROPER TURNING/NO SIGNAL,404854.0452,7.691235787,,,
1023,5263836.092,FAILING TO REDUCE SPEED TO AVOID CRASH,294313.5571,5.591237113,,,
1023,5263836.092,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6742.786619,0.12809644,,,
1023,5263836.092,DISTRACTION - FROM INSIDE VEHICLE,31611.73834,0.600545644,,,
1023,5263836.092,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,268404.8959,5.099035973,,,
1023,5263836.092,FOLLOWING TOO CLOSELY,621630.2207,11.80945246,,,
1023,5263836.092,DISREGARDING OTHER TRAFFIC SIGNS,12938.99528,0.245809236,,,
1023,5263836.092,UNABLE TO DETERMINE,1627772.929,30.92370091,,,
1023,5263836.092,OPERATING VEHICLE IN ERRATIC,23874.8362,0.453563443, ,,
1023,5263836.092,VISION OBSCURED (SIGNS,34126.06909,0.648311773,,,
1023,5263836.092,NOT APPLICABLE,181531.4236,3.448652664,,,
1023,5263836.092,PHYSICAL CONDITION OF DRIVER,3496.035344,6.64E-02,,,
1023,5263836.092,DISREGARDING TRAFFIC SIGNALS,187875.9299,3.569182752,,,
1024,3164425.61,IMPROPER OVERTAKING/PASSING,181666.4585,5.740898377,,,
1024,3164425.61,FOLLOWING TOO CLOSELY,346681.2566,10.95558244,,,
1024,3164425.61,DISTRACTION - FROM INSIDE VEHICLE,739.7683522,2.34E-02,,,
1024,3164425.61,OPERATING VEHICLE IN ERRATIC,129790.0534,4.10153593, ,,
1024,3164425.61,WEATHER,27750.27817,0.87694519,,,
1024,3164425.61,DRIVING ON WRONG SIDE/WRONG WAY,32522.82419,1.027763904,,,
1024,3164425.61,VISION OBSCURED (SIGNS,3529.10286,0.111524279,,,
1024,3164425.61,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,137305.821,4.339044044,,,
1024,3164425.61,FAILING TO REDUCE SPEED TO AVOID CRASH,141999.8235,4.48738068,,,
1024,3164425.61,FAILING TO YIELD RIGHT-OF-WAY,486944.0741,15.38807146,,,
1024,3164425.61,CELL PHONE USE OTHER THAN TEXTING,3390.436365,0.107142236,,,
1024,3164425.61,IMPROPER TURNING/NO SIGNAL,34837.63547,1.100914977,,,
1024,3164425.61,EQUIPMENT - VEHICLE CONDITION,36110.031,1.141124344,,,
1024,3164425.61,EXCEEDING AUTHORIZED SPEED LIMIT,25290.87978,0.799224975,,,
1024,3164425.61,EXCEEDING SAFE SPEED FOR CONDITIONS,4301.13357,0.135921463,,,
1024,3164425.61,DISREGARDING STOP SIGN,188006.7771,5.94126076,,,
1024,3164425.61,NOT APPLICABLE,179114.0935,5.660240296,,,
1024,3164425.61,DISREGARDING OTHER TRAFFIC SIGNS,21504.45059,0.679568846,,,
1024,3164425.61,DISREGARDING TRAFFIC SIGNALS,84846.51844,2.681261274,,,
1024,3164425.61,IMPROPER BACKING,134698.4837,4.256648768,,,
1024,3164425.61,IMPROPER LANE USAGE,50194.70649,1.586218565,,,
1024,3164425.61,DISREGARDING ROAD MARKINGS,0,0,,,
1024,3164425.61,DISTRACTION - FROM OUTSIDE VEHICLE,2675.38983,8.45E-02,,,
1024,3164425.61,TEXTING,933.8089985,0.029509589,,,
1024,3164425.61,UNABLE TO DETERMINE,897652.1145,28.36698425,,,
1024,3164425.61,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),11939.69025,0.377309873,,,
1031,7573261.726,EXCEEDING SAFE SPEED FOR CONDITIONS,11590.35668,0.153043129,,,
1031,7573261.726,DISREGARDING TRAFFIC SIGNALS,87103.84247,1.15014964,,,
1031,7573261.726,VISION OBSCURED (SIGNS,86036.51057,1.136056216,,,
1031,7573261.726,DISREGARDING YIELD SIGN,10395.33378,0.137263628,,,
1031,7573261.726,EQUIPMENT - VEHICLE CONDITION,16240.96376,0.214451373,,,
1031,7573261.726,DISTRACTION - FROM INSIDE VEHICLE,88683.64851,1.171009952,,,
1031,7573261.726,IMPROPER TURNING/NO SIGNAL,219454.8958,2.897759298,,,
1031,7573261.726,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,254544.5401,3.361095249,,,
1031,7573261.726,WEATHER,214221.9531,2.828661689,,,
1031,7573261.726,IMPROPER LANE USAGE,287374.9325,3.794599247,,,
1031,7573261.726,FAILING TO REDUCE SPEED TO AVOID CRASH,680107.0871,8.980372152,,,
1031,7573261.726,DISTRACTION - FROM OUTSIDE VEHICLE,4774.357132,6.30E-02,,,
1031,7573261.726,NOT APPLICABLE,364798.0937,4.816921782,,,
1031,7573261.726,FAILING TO YIELD RIGHT-OF-WAY,975327.3947,12.87856448,,,
1031,7573261.726,IMPROPER OVERTAKING/PASSING,302738.648,3.997467127,,,
1031,7573261.726,PHYSICAL CONDITION OF DRIVER,9010.104067,0.118972569,,,
1031,7573261.726,CELL PHONE USE OTHER THAN TEXTING,5466.951634,7.22E-02,,,
1031,7573261.726,DRIVING ON WRONG SIDE/WRONG WAY,46646.54419,0.615937305,,,
1031,7573261.726,ROAD CONSTRUCTION/MAINTENANCE,3743.759024,4.94E-02,,,
1031,7573261.726,DISREGARDING STOP SIGN,43811.49758,0.578502357,,,
1031,7573261.726,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),31675.53214,0.418254819,,,
1031,7573261.726,UNABLE TO DETERMINE,2234322.307,29.5027742,,,
1031,7573261.726,IMPROPER BACKING,226049.7575,2.984840161,,,
1031,7573261.726,FOLLOWING TOO CLOSELY,1214122.814,16.03170282,,,
1031,7573261.726,EXCEEDING AUTHORIZED SPEED LIMIT,46680.45038,0.616385014,,,
1031,7573261.726,OPERATING VEHICLE IN ERRATIC,108339.4515,1.430552059,,,
1032,3645865.693,FAILING TO YIELD RIGHT-OF-WAY,652002.7934,17.88334646,,,
1032,3645865.693,IMPROPER TURNING/NO SIGNAL,182776.2363,5.013246557,,,
1032,3645865.693,DISTRACTION - FROM OUTSIDE VEHICLE,85927.31672,2.356842625,,,
1032,3645865.693,VISION OBSCURED (SIGNS,6042.433424,0.165733846,,,
1032,3645865.693,EXCEEDING AUTHORIZED SPEED LIMIT,22694.17641,0.622463314,,,
1032,3645865.693,OPERATING VEHICLE IN ERRATIC,23353.92991,0.640559249,,,
1032,3645865.693,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,222880.0564,6.113227287,,,
1032,3645865.693,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),47187.75061,1.2942811,,,
1032,3645865.693,DISREGARDING OTHER TRAFFIC SIGNS,0,0,,,
1032,3645865.693,EXCEEDING SAFE SPEED FOR CONDITIONS,71313.28458,1.956004159,,,
1032,3645865.693,DRIVING ON WRONG SIDE/WRONG WAY,10936.55638,0.299971455,,,
1032,3645865.693,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),52064.63777,1.428045961,,,
1032,3645865.693,FOLLOWING TOO CLOSELY,194385.5794,5.331671428,,,
1032,3645865.693,WEATHER,85155.39195,2.33567002,,,
1032,3645865.693,IMPROPER BACKING,104362.8556,2.862498633,,,
1032,3645865.693,ROAD CONSTRUCTION/MAINTENANCE,5451.260426,0.149518959,,,
1032,3645865.693,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,17000.29909,0.466289779,,,
1032,3645865.693,IMPROPER OVERTAKING/PASSING,106005.3535,2.907549604,,,
1032,3645865.693,DISREGARDING TRAFFIC SIGNALS,161388.7216,4.426622787,,,
1032,3645865.693,FAILING TO REDUCE SPEED TO AVOID CRASH,281480.6369,7.72054323,,,
1032,3645865.693,DISREGARDING STOP SIGN,51971.29655,1.425485767,,,
1032,3645865.693,EVASIVE ACTION DUE TO ANIMAL,49688.39849,1.362869691,,,
1032,3645865.693,IMPROPER LANE USAGE,55989.64926,1.535702464,,,
1032,3645865.693,PHYSICAL CONDITION OF DRIVER,15266.05845,0.418722458,,,
1032,3645865.693,NOT APPLICABLE,144728.409,3.969658269,,,
1032,3645865.693,UNABLE TO DETERMINE,995812.6108,27.3134749,,,
1033,6213126.535,DISREGARDING TRAFFIC SIGNALS,97971.22686,1.576842614,,,
1033,6213126.535,IMPROPER LANE USAGE,203185.392,3.270260002,,,
1033,6213126.535,EQUIPMENT - VEHICLE CONDITION,32683.8432,0.526045028,,,
1033,6213126.535,DRIVING ON WRONG SIDE/WRONG WAY,46356.2314,0.746101518,,,
1033,6213126.535,CELL PHONE USE OTHER THAN TEXTING,38886.69084,0.625879589,,,
1033,6213126.535,OPERATING VEHICLE IN ERRATIC,128939.0512,2.075268393,,,
1033,6213126.535,EXCEEDING SAFE SPEED FOR CONDITIONS,76163.66307,1.225850828,,,
1033,6213126.535,PHYSICAL CONDITION OF DRIVER,12462.61308,0.200585213,,,
1033,6213126.535,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),116994.6837,1.883024319,,,
1033,6213126.535,IMPROPER TURNING/NO SIGNAL,470091.5706,7.566103281,,,
1033,6213126.535,IMPROPER OVERTAKING/PASSING,384398.3727,6.186875006,,,
1033,6213126.535,NOT APPLICABLE,122293.1479,1.96830287,,,
1033,6213126.535,DISTRACTION - FROM INSIDE VEHICLE,24663.9702,0.396965522,,,
1033,6213126.535,EXCEEDING AUTHORIZED SPEED LIMIT,33213.32905,0.534567079,,,
1033,6213126.535,FAILING TO REDUCE SPEED TO AVOID CRASH,215351.3126,3.466069964,,,
1033,6213126.535,TEXTING,9460.872284,0.152272326,,,
1033,6213126.535,WEATHER,67277.58969,1.082829865,,,
1033,6213126.535,FAILING TO YIELD RIGHT-OF-WAY,890262.3134,14.32873302,,,
1033,6213126.535,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,509.742392,8.20E-03,,,
1033,6213126.535,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,237066.1166,3.815568784,,,
1033,6213126.535,BICYCLE ADVANCING LEGALLY ON RED LIGHT,816.2453786,1.31E-02,,,
1033,6213126.535,DISREGARDING OTHER TRAFFIC SIGNS,20047.48899,0.322663459,,,
1033,6213126.535,IMPROPER BACKING,162279.8402,2.611886935,,,
1033,6213126.535,DISREGARDING STOP SIGN,60116.93411,0.967579427,,,
1033,6213126.535,UNABLE TO DETERMINE,1754543.36,28.23929869,,,
1033,6213126.535,DISTRACTION - FROM OUTSIDE VEHICLE,21244.09195,0.341922731,,,
1033,6213126.535,FOLLOWING TOO CLOSELY,967210.3138,15.56720772,,,
1033,6213126.535,VISION OBSCURED (SIGNS,18636.52735,0.299954093,,,
1034,9834402.295,UNABLE TO DETERMINE,2489047.057,25.3095916,,,
1034,9834402.295,EXCEEDING SAFE SPEED FOR CONDITIONS,142283.286,1.446791393,,,
1034,9834402.295,DISREGARDING YIELD SIGN,13289.35995,0.135131344,,,
1034,9834402.295,IMPROPER TURNING/NO SIGNAL,541038.5461,5.501488855,,,
1034,9834402.295,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,191456.3583,1.946802181,,,
